出表日期,報告年度,公司代號,公司名稱,範疇一排放量(噸CO2e),範疇一資料邊界,範疇一取得驗證,範疇二排放量(噸CO2e),範疇二資料邊界,範疇二取得驗證,範疇三排放量(噸CO2e),範疇三資料邊界,範疇三取得驗證,溫室氣體排放密集度(噸CO2e/單位),溫室氣體排放密集度單位,溫室氣體管理之策略、方法、目標
1111005,110,1101,台泥,4798945.0000,台泥台灣個體公司 (涵蓋營運集團總部、研究室、2座水泥廠、25座製品廠),ISO 14064,220392.0000,台泥台灣個體公司 (涵蓋營運集團總部、研究室、2座水泥廠、25座製品廠),ISO 14064,29575.0000,台泥台灣個體公司(涵蓋營運集團總部、研究室、2座水泥廠),ISO 14064,0.8070,產品,"(一)企業對於因應氣候變遷或溫室氣體管理之策略
台泥企業團三大核心事業：低碳水泥與綠色建材、資源循環利用與綠色能源，以科學基礎減
碳目標
(Science Based Targets, SBT) 推展七大減碳策略，如製程工藝改善、優化餘熱發電設
備，減少外購電力並提高能源使用效率；推動跨產業循環經濟，開發生質能與生質燃料，
將廢棄物資源再生利用為替代原燃料達減廢、減碳、減煤效益，投入碳捕獲技術研發及商轉
模式，建置再生能源與智慧儲能發展綠色新能源，以多面向整合朝2050年淨零目標邁進。
(二)企業溫室氣體排放量減量目標
2025年科學基礎減碳目標 (SBT)，範疇一減少11%碳排放強度，範疇二減少32%碳排放強度
2050年混凝土碳中和
(三)企業溫室氣體排放量減量之預算與計畫
2022年新增加協助溫室氣體排放量減少之資本支出預算與計畫如下：
<蘇澳廠>
(1)旋窯預熱機增設步進式燃燒器：減少燃煤消耗及碳排放。
(2)增設太陽能板發電系統1,115KW：減少外購灰電及碳排放，強化再生能源自用。
<和平廠>
(1)建置UHPC廠房及設備製裝工程：UHPC建材可延長使用壽命至100-120年，減少建物重建
也能避免建築廢料產生，具體落實減碳。
(2)#1K旋窯廢木屑處理設備建置工程：預期增加替代燃料使用，減少燃煤消耗及碳排放。
(3)新增樹木及廢木料破碎設備工程：預期增加替代燃料使用，減少燃煤消耗及碳排放。
(4)增設太陽能板發電系統3,146KW：減少外購灰電及碳排放，強化再生能源自用。
<高雄發貨站>
(1)高雄港發貨站岸電系統建置專案：岸電設備可減少空汙、噪音並維持港埠空氣品質，並
可進一步減少燃油消耗來降低碳排放。
(四)企業產品或服務帶給客戶或消費者之減碳效果
(1)建立台灣水泥業標準全台第一張碳標籤與減碳標籤 : 碳足跡(Carbon Footprint)的定義
為一項活動或產品從原料取得、工廠製造、配送銷售、使用到最後廢棄回收等整個生命
週期，過程中直接與間接所產生的溫室氣體排放量。為有效掌握產品溫室氣體排放量，
台泥自2019年起啟動產品碳足跡專案，2020年台泥主動向環保署申請建置水泥產品類別
標準(Product Category Rules,PCR)，並獲環保署碳足跡標籤。2021年查證袋裝水泥產
品蘇澳廠碳足跡減量比例11%、和平廠碳足跡減量比例5.5%，均達環保署規定3%標準並獲
得減碳標籤認證，為台灣唯一具有「綠腳印」之水泥產品。
(2)推動永續營建 : 台泥關注環境共生與永續平衡發展，鼓勵混凝土客戶申請綠建築認證經
營。目標2025年時，混凝土用作綠建築之營收占整體混凝土營收達5%以上、2030年達6%
以上。2021年比例11.2%，較2020年成長60%。
"
1111005,110,1102,亞泥,2967231.0000,亞洲水泥個體公司,ISO 14064,172203.0000,亞洲水泥個體公司,ISO 14064,419501.0000,亞洲水泥個體公司,ISO 14064,0.8520,產品,"(一)企業對於因應氣候變遷或溫室氣體管理之策略
2020年起亞洲水泥推動科學減碳目標，2021年3月通過國際上嚴格的科學基礎目標倡議組織（Science-Based Targets initiative, SBTi）審查，成為全球第四家完成減碳目標設定、具體回應全球氣候控制升溫2°C以下（well-below）的水泥公司。透過積極推動循環經濟，減少天然礦物與燃料的使用，以及調整石灰石摻用比例，減少使用高排碳量的熟料，達成減碳目標。
(二)企業溫室氣體排放量減量目標
亞洲水泥的科學減量承諾，是以2019年設定為基準年，承諾到2025年，包括台北總公司、新竹廠、以及花蓮廠，範疇1+2的水泥膠結材料排放強度降低8%，相當於減少超過25.8萬噸的溫室氣體排放量。2021年範疇1+2實際排放強度為0.852，排放強度達成SBT目標值。範疇1實際強度為0.805，亦優於0.813之減碳路徑。範疇2實際強度為0.047，略高於0.041之減碳路徑。
(三)企業溫室氣體排放量減量之預算與計畫
2020年起亞洲水泥推動科學減碳目標，2021年3月通過國際上嚴格的科學基礎目標倡議組織（Science-Based Targets initiative, SBTi）審查，成為全球第四家完成減碳目標設定、具體回應全球氣候控制升溫2°C以下（well-below）的水泥公司。透過積極推動循環經濟，減少天然礦物與燃料的使用，以及調整石灰石摻用比例，減少使用高排碳量的熟料，達成減碳目標。
(四)企業產品或服務帶給客戶或消費者之減碳效果
1. 通過科學減碳SBT目標設定，2021年水泥膠結材料排放強度0.852(噸CO2e/噸水泥膠結材料)達成目標。
2. 亞泥與經濟部工業局、水泥公會、國內關鍵業者組成「水泥業淨零排放工作組」，共同研商我國水泥產業淨零轉型策略路徑。
3. 亞泥總經理李坤炎擔任經濟部「產業及能源效率工作圈」委員，攜手總廠長張志鵬帶領淨零排放小組團隊，與政府共同研商水泥產業淨零排放策略及路徑規劃。
4. 循環經濟原料替代及燃料替代， 年減67,540噸CO2e排放。
5.完成水泥船全岸電，降低船舶用油，減少5,329公噸CO2e排放。
"
1111005,110,1103,嘉泥,209.1565,合併報表之母子公司但不包含台灣地區營收佔比相較微小之資產出租公司藍鈞及嘉昇建設，及日本區，大陸區所有轉投資公司。,ISO 14064,4007.1970,合併報表之母子公司但不包含台灣地區營收佔比相較微小之資產出租公司藍鈞及嘉昇建設，及日本區，大陸區所有轉投資公司。,ISO 14064,1353.9461,合併報表之母子公司但不包含台灣地區營收佔比相較微小之資產出租公司藍鈞及嘉昇建設，及日本區，大陸區所有轉投資公司。,ISO 14064,0.0027,"營業額2,042,623 (仟元)","(一)企業對於因應氣候變遷或溫室氣體管理之策略
本公司委任外部顧問團隊協助，完成氣候變遷相關風險辨識，後續將由此基礎延伸，建立相關因應方案並發展氣候變遷管理制度與政策，並定期檢視及評估相關風險。
(二)企業溫室氣體排放量減量目標
達成2030年辦公室據點淨零碳排階段性目標。
(三)企業溫室氣體排放量減量之預算與計畫
1.2021年完成企業團總公司溫室氣體盤查及外部查證，將持續擴大盤查範疇，2022年6月預計將完成合併報表子公司（台灣所有據點）之溫室氣體盤查及查證，企業團海外據點則規劃2023年完成。
2.維持能源管理系統運作。
3.針對上述目標另行排定預算執行。
(四)企業產品或服務帶給客戶或消費者之減碳效果
1.於新事業體開發設計階段導入能源、溫室氣體相關管理系統，並評估訂定能源及溫室氣體相關政策與目標，使之成為未來低碳市場首選。
2.於日常營運中進行能源管理及節能減碳，降低對能源使用之依賴。
3.導入LEED綠建築、WELL國際健康建築標準、IHG綠色環保參與計劃、採用能源使用強度較低產品或服務等，提升市場競爭力與形象。
"
1111005,110,1104,環泥,18362.0000,母公司之阿蓮水泥廠、海湖石膏板廠、直屬七座預拌混凝土場,N,18273.0000,母公司之阿蓮水泥廠、海湖石膏板廠、直屬七座預拌混凝土場,N,,,N,0.0095,產值(新台幣千元),"(一)企業對於因應氣候變遷或溫室氣體管理之策略
本公司以行動倡議遵循國內環保法規、ESG指標及呼應聯合國永續發展目標(Sustainable Development Goals, SDGs)，秉持永續理念，以節能減碳為企業經營核心，並重環保與經濟，透過積極管理能資源使用與廢棄物產出量、訂定相關措施及持續追蹤改善情形，將環境衝擊降至最低，善盡社會責任，與地球友好共生。
(二)企業溫室氣體排放量減量目標
本公司節能減碳管理政策：
1.	採用節能LED燈具，更換後預計節電30%。
2.	遵循隨手關燈原則，辦公室於午休時間熄燈、下班後檢查確認關燈狀況。
3.	定期檢修並汰換舊高耗電設備，使用較高效率設備以減少用電量。
4.	配合行政院環保署推動執行大型柴油車汰舊換新計畫。
5.	主要原料就近在地採購，降低長途運輸。
(三)企業溫室氣體排放量減量之預算與計畫
1.	規劃企業內部節能減碳相關管理政策並加以落實
2.	持續提高能源使用效率
3.	廢棄物轉為資源：積極使石膏板回收重新再利用的循環經濟製程最佳化
4.	鼓勵同仁研發提案低碳排／低環境衝擊技術
5.	持續推廣環泥現有綠色建材
6.	積極擴大環球石膏板回收機制服務客群，與客戶共同響應資源再利用
7.	分析產品替代風險及其他材料的優劣
8.	積極回應客戶需求投入研發新產品
9.	優先採購在地原料
10.	訂定長期合約及第二供應商制度以穩定價格
11.	研究其他替代原料的採購途徑以提高資源替代與多樣性
12.	執行業務連續性計劃 (Business Continuity Planning):
-	持續採取最適化庫存及運輸彈性調度
-	維持穩定營運以支撐社會大眾建設需求
13.	透過水利署即時資訊監測水情資訊並擬定缺水對策
14.	宣導並落實節能減碳環保措施
15.	優先採用高效率節能產品
16.	定期檢查淘汰老舊設備以減少能源負擔
(四)企業產品或服務帶給客戶或消費者之減碳效果
本公司生產之石膏板建材使用發電廠副產品脫硫石膏作為主要原料，使用後的廢石膏板可回收重製再利用。本公司生產之石膏板建材具備國內外環保永續認證，可立即滿足客戶提出的永續綠建築相關市場需求。
"
1111005,110,1108,幸福,568272.2000,幸福水泥(股)公司東澳廠,ISO 14064,39493.3400,幸福水泥(股)公司東澳廠,ISO 14064,,,N,0.5200,產品,
1111005,110,1109,信大,574039.8381,僅信大母公司南聖湖工廠,ISO 14064,43746.2880,僅信大母公司南聖湖工廠,ISO 14064,,,N,,,"(一)企業對於因應氣候變遷或溫室氣體管理之策略
本公司因應全球節能減碳趨勢，精實企業永續經營，致力於下列事項:
1、設置專責單位：
設置專責獨立的能源環境事務辦公室，由廠區一級主管負責，迅速有效處理能源環境相關規制。
2、水資源循環再利用與污染防治：
積極回收設備冷卻水循環再利用，並設置生活廢水回收及供水管線配合，
有效降低使用水量，達成設備作業水零排目標。本公司因應極端豪大雨狀況謹慎擬籌方案，
增設逕流廢水收集場池及處理設施外，並積極改善放流雨水的環保防制。
3、降低原料損耗與穩定料源：
為降低大雨沖刷造成的原料成本損耗、熱能的耗用及對環境的污染，
本公司設置料堆防塵網外並針對露天堆置原料實施逸散防制改善方案，
減少石料運輸揚塵及料堆抗災抑失功能，並增加原物料品質穩定性。
4、法規配合：
持續注意相關氣候變遷議題、因應國內法令及規章的變革發展，
與政府相關機關及產業組織密切研討，除積極自主節能減碳外，
並協同水泥產業及客戶服務端妥為因應。
5、節能減碳專責改善：
成立能源小組就各項生產設備耗能指標檢討運轉效率，汰換低效高耗能風車，
降低風管管損及能源的不當耗損，引進新式技術生產，進行生命週期評估，
以維持設備的整體減碳績效。
(二)企業溫室氣體排放量減量目標
信大水泥公司依營運狀況與溫室氣體盤查結果，制訂公司節能減碳及溫室氣體減量策略，
並將碳權取得納入公司之減碳策略規畫中，
據以推動工作及降低對自然環境衝擊。預計8月將在環保署『國家溫室氣體登錄』平台上，
登錄110年度溫室氣體排放量等相關報告，並進行第三者盤查與查證作業。
(三)企業溫室氣體排放量減量之預算與計畫
本公司除在環境成本支出已逐年擴增外，另為因應全球節能減碳趨勢下，
擬將持續投資各項環保與節能措施，逐步達成溫室氣體減量目標。
1、推動節能專案：
成立能源小組致力推展各節能減碳計畫，推動環境改善評估方案。
2、加速生產設備汰舊換新:
依各項生產設備耗能指標檢討運轉效率，汰換低效高耗能風車，降低風管管損及能源的不當耗損。
3、引入新世代生產技術:
引進新式技術生產，進行生命週期評估，以維持設備的整體減碳績效。
4、配合國家推動溫室氣體減量政策:
規劃替代原物料、替代燃料水泥等循環經濟之減碳作為，將廢棄物資源化循環再利用，
進而降低原物料開採及化石燃料使用；以符合國家階段管制與減量目標。
(四)企業產品或服務帶給客戶或消費者之減碳效果
信大水泥運用生命週期的理念，評估水泥製品在消費者使用及下游加工階段的外部減碳效益，
完成高品質水泥應用於橋梁建築、大樓建構及各項公共建設。
減碳效益量化評估方法的技術應用學習，在水泥應用於混擬土施工、磁磚浮貼耐久性完成初步各項案例評估。信大水泥除可協助客戶進行產品的減量化、提高能源效率外，
並可延長產品的使用年限和降低環境負荷，達到節能減碳和保護環境的綠色目標。
"
1111005,110,1110,東泥,2738.0000,工廠,N,20881.0000,工廠,N,,,N,0.0340,產品,
1111005,110,1201,味全,11135.1700,"1.母公司(含總公司、中央研究所、營業所、台中廠、斗六廠、高雄廠)。
2.直接擁有或控制的排放源所直接排放的溫室氣體
含2-1營業所/工廠購汽油柴油鍋爐天然氣等排放及辦公室人員活動之化糞池清除作業散逸排放。
含2-2工廠購原料之製麴、發酵雙醣等於製程中排放。",N,21106.0300,"1.母公司(含總公司、中央研究所、營業所、台中廠、斗六廠、高雄廠)。
2.外購電力產生溫室氣體排放。",N,,,N,0.2200,產品,"(一)企業對於因應氣候變遷或溫室氣體管理之策略
1.針對氣候變遷議題之治理架構管理，由董事會作為最高的監督單位，並成立”企業永續發展委員會”，透過轄下工作小組進行議題管理與風險評估，工作小組包含：環境友善小組、產品設計小組、利害關係人溝通小組、公司治理小組、社會公益小組、員工關係小組、食安推動小組，共同進行氣候變遷風險與機會影響評估與因應。由委員會彙整各組成果定期向董事會報告執行情形。
2.本公司經由各組研討彙整出氣候變遷相關風險與機會，主要有：
(1)政策與法規風險：可透過碳市場交易購買碳權，來抵減排放。
(2)現有產品的法規要求：產品的效率標示制定標準，要求符合規範(如能源、耗水等效率、碳足
跡、用水許可等)。
(3)轉型至低碳、減塑技術成本。
(4)極端天氣事件嚴重程度提高(水價恐調漲、道路中斷等造成原物料短缺)。
(5)更高效率的運輸(採電動車、物流e化配送)。
(6)用低碳能源與再生能源(使用太陽能、風能等)。
3.針對氣候變遷相關風險與機會，規劃及訂定相關管理策略進行因應，包含：
(1)產品設計及環境友善小組：從減少一次性塑膠使用、包材改善等方向出發，降低塑膠使用量。
(2)社會公益及員工關係小組：規劃短、中、長期剩食減量專案，減少廢棄物產生量。
(3)評估投資再生能源設備之可行性與做法，盡力提升再生能源使用比例。
(4)營業所配送評估改採電動車。
(二)企業溫室氣體排放量減量目標
1.能源效率減量目標：
能源管理減碳及目標：各廠通過ISO 50001能源管理及認證，落實能源監督及管理，年節電管理目標1%。
2.溫室氣體排放量減量目標：
(1)環境內部管理：工廠取得ISO-14001環境管理認證(廢棄物管理減量、資源回收提升95%以上、台中廠太陽能綠電建置502仟瓦、減碳排放299公噸/年等)。
(2)推動各項節能減排專案及提升再生能源使用。
(3)工廠溫室氣體排放量訂定逐年減量1%目標。
(三)企業溫室氣體排放量減量之預算與計畫
本公司110年持續執行節能改善情形如下：
1.節電：
(1)總公司、營業所、工廠節能改善案計22件，投資金額新台幣300萬元。
(2)節電量475,436度/年，CO2減量238.7噸/年。
2.節水：
(1)工廠、營業所廠節水改善案計3件，投資金額新台幣50萬元。包括：
A.軟化水系統逆洗頻率延長節水。
B.活性碳滅菌及逆洗頻率延長節水。
C.醱酵乳品處殺菌冷卻水回收再利用。
(2)節水量58,138噸/年，CO2減量9噸/年。
(四)企業產品或服務帶給客戶或消費者之減碳效果
1.推展環保爪蓋減少塑膠使用：
味全玻璃罐頭及系列產品採用國內最新的環保爪蓋，檢驗證實塑化劑符合規範，不僅無食品安全疑慮，同時考慮環保綠化之功效，大幅減少塑料對環境的影響。
2.包材輕量化持續減碳對環境保護之承諾：
產品規劃初期即注重產品3R（Reduce、Reuse、Recycle），持續針對各產品包裝進行輕量化健檢，將包裝減至能維持產品品質下的最輕重量，朝包材輕量化並持續減碳，達到對環境保護之承諾。
"
1111005,110,1203,味王,7168.9480,母公司,N,4233.8410,母公司,N,,,N,5.1320,營業額,"(一)企業對於因應氣候變遷或溫室氣體管理之策略
1.辦理推廣節能活動(辦理教育訓練)。
2.擴大低碳燃料使用，增設天然氣管線，由燃油鍋爐改為燃氣鍋爐。
3.擴大再生能源使用，增設太陽光電裝置容量。
4.照明設備由傳統T8改為T5省電燈具或LED T8省電燈具。
(二)企業溫室氣體排放量減量目標
節約能源約628.978 GJ。
(三)企業溫室氣體排放量減量之預算與計畫
目前無此項目之計算。
(四)企業產品或服務帶給客戶或消費者之減碳效果
目前無此項目之檢視。
"
1111005,110,1210,大成,,,N,,,N,,,N,,,
