出表日期,報告年度,公司代號,公司名稱,員工福利平均數(仟元/人)(每年6/2起公開),員工薪資平均數(仟元/人)(每年6/2起公開),非擔任主管職務之全時員工薪資平均數(仟元/人)(每年7/1起公開),非擔任主管之全時員工薪資中位數(仟元/人)(每年7/1起公開),管理職女性主管佔比,職業災害人數及比率-人數,職業災害人數及比率-比率
1111005,110,1101,台泥,1184,1043,1082,958,26.21%,1人,0.09%
1111005,110,1102,亞泥,1353,1214,1110,1003,22.31%,0人,0.00%
1111005,110,1103,嘉泥,1797,1553,1139,923,40.00%,0人,0.00%
1111005,110,1104,環泥,992,842,760,678,18.47%,0人,0.00%
1111005,110,1108,幸福,640,523,523,478,28.57%,3人,0.66%
1111005,110,1109,信大,772,641,664,624,30.00%,0人,0.00%
1111005,110,1110,東泥,776,615,603,587,17.65%,1人,1.33%
1111005,110,1201,味全,887,745,735,657,28.38%,6人,4.37%
1111005,110,1203,味王,649,566,585,555,8.82%,5人,0.69%
1111005,110,1210,大成,827,696,697,598,15.00%,13人,0.55%
1111005,110,1213,大飲,513,435,446,402,3.00%,0人,0.00%
1111005,110,1215,卜蜂,892,766,579,497,6.00%,18人,0.82%
1111005,110,1216,統一,1408,1244,1217,1043,22.39%,5人,0.09%
1111005,110,1217,愛之味,804,671,684,582,33.98%,5人,0.90%
1111005,110,1218,泰山,946,803,737,634,23.90%,7人,1.07%
1111005,110,1219,福壽,807,675,647,599,14.30%,8人,1.30%
1111005,110,1220,台榮,696,582,603,553,13.79%,1人,0.46%
1111005,110,1225,福懋油,902,767,701,614,8.70%,2人,0.87%
1111005,110,1227,佳格,1195,981,827,758,30.00%,8人,0.80%
1111005,110,1229,聯華,4077,3804,738,673,22.00%,0人,0.00%
1111005,110,1231,聯華食,787,661,634,534,30.00%,21人,0.01%
1111005,110,1232,大統益,1996,1758,1591,1382,27.27%,1人,0.69%
1111005,110,1233,天仁,480,394,509,455,45.46%,16人,1.16%
1111005,110,1234,黑松,935,773,779,577,12.66%,4人,0.70%
1111005,110,1235,興泰,492,410,395,406,33.33%,1人,5.00%
1111005,110,1236,宏亞,598,500,487,457,47.22%,6人,0.96%
1111005,110,1256,鮮活果汁-KY,,,,,34.15%,24人,2.66%
1111005,110,1301,台塑,1475,1276,1506,1403,6.51%,6人,0.09%
1111005,110,1303,南亞,1401,1242,1410,1369,4.21%,8人,0.07%
1111005,110,1304,台聚,1858,1609,1471,1318,1.08%,0人,0.00%
1111005,110,1305,華夏,1366,1188,1190,1165,3.33%,4人,0.60%
1111005,110,1307,三芳,806,675,627,600,10.00%,1人,0.13%
1111005,110,1308,亞聚,1714,1462,1439,1346,3.12%,0人,0.00%
1111005,110,1309,台達化,1568,1353,1366,1280,15.38%,0人,0.00%
1111005,110,1310,台苯,1374,1117,1059,1018,20.00%,2人,1.07%
1111005,110,1312,國喬,1916,1567,1590,1426,27.27%,0人,0.00%
1111005,110,1313,聯成,1789,1544,1281,891,31.00%,2人,0.89%
1111005,110,1314,中石化,1395,1234,989,899,5.92%,1人,0.07%
1111005,110,1315,達新,765,615,599,520,44.20%,2人,0.56%
1111005,110,1319,東陽,679,564,619,532,13.00%,0人,0.00%
1111005,110,1321,大洋,909,752,809,750,8.06%,4人,0.88%
1111005,110,1323,永裕,701,596,597,513,25.66%,1人,0.14%
1111005,110,1324,地球,713,591,556,456,29.63%,0人,0.00%
1111005,110,1325,恆大,560,452,473,389,50.00%,0人,0.00%
1111005,110,1326,台化,1744,1515,1528,1435,0.75%,3人,0.02%
1111005,110,1337,再生-KY,,,,,14.29%,0人,0.00%
1111005,110,1338,廣華-KY,,,,,27.40%,0人,0.00%
1111005,110,1339,昭輝,679,567,510,449,42.00%,3人,1.12%
1111005,110,1340,勝悅-KY,,,,,0.00%,0人,0.00%
1111005,110,1341,富林-KY,,,,,22.00%,11人,1.17%
1111005,110,1342,八貫,812,718,643,510,33.33%,7人,2.00%
1111005,110,1402,遠東新,1286,1103,976,849,19.00%,101人,0.50%
1111005,110,1409,新纖,907,778,761,611,8.89%,3人,0.16%
1111005,110,1410,南染,673,580,537,547,41.18%,0人,0.00%
1111005,110,1413,宏洲,741,623,648,614,18.00%,2人,0.85%
1111005,110,1414,東和,675,557,564,527,17.60%,4人,1.90%
1111005,110,1416,廣豐,1613,1250,766,781,42.86%,0人,0.00%
1111005,110,1417,嘉裕,663,558,551,446,4.00%,3人,1.00%
1111005,110,1418,東華,994,694,542,478,14.29%,0人,0.00%
1111005,110,1419,新紡,792,672,652,564,56.00%,0人,0.00%
1111005,110,1423,利華,742,619,508,442,33.33%,1人,1.49%
1111005,110,1432,大魯閣,377,297,430,364,33.30%,18人,2.90%
1111005,110,1434,福懋,600,504,567,507,17.00%,14人,0.24%
1111005,110,1435,中福,827,757,1005,552,66.70%,0人,0.00%
1111005,110,1436,華友聯,1187,1005,866,842,7.41%,1人,1.85%
1111005,110,1437,勤益控,3654,3355,696,415,25.00%,0人,0.00%
1111005,110,1438,三地開發,843,724,468,443,40.00%,0人,0.00%
1111005,110,1439,雋揚,1548,1280,911,898,12.50%,0人,0.00%
1111005,110,1440,南紡,783,663,631,560,9.61%,9人,0.80%
1111005,110,1441,大東,830,697,600,559,18.75%,0人,0.00%
1111005,110,1442,名軒,1237,1022,871,808,50.00%,0人,0.00%
1111005,110,1443,立益物流,784,664,604,574,14.94%,0人,0.00%
1111005,110,1444,力麗,690,565,563,488,22.73%,7人,0.75%
1111005,110,1445,大宇,676,571,539,471,20.00%,0人,0.00%
1111005,110,1446,宏和,685,574,577,476,14.63%,0人,0.00%
1111005,110,1447,力鵬,735,591,555,499,23.73%,3人,0.57%
1111005,110,1449,佳和,588,492,503,482,31.70%,2人,0.23%
1111005,110,1451,年興,744,634,595,526,22.00%,1人,0.12%
1111005,110,1452,宏益,959,823,740,626,33.00%,17人,7.11%
1111005,110,1453,大將,727,598,498,479,25.00%,0人,0.00%
1111005,110,1454,台富,649,541,515,449,6.80%,0人,0.00%
1111005,110,1455,集盛,827,701,691,587,11.93%,4人,0.33%
1111005,110,1456,怡華,881,746,623,626,12.50%,0人,0.00%
1111005,110,1457,宜進,914,737,600,589,55.50%,0人,0.00%
1111005,110,1459,聯發,694,575,499,447,14.29%,0人,0.00%
1111005,110,1460,宏遠,707,580,543,501,3.00%,21人,1.00%
1111005,110,1463,強盛,626,536,537,500,17.07%,0人,0.00%
1111005,110,1464,得力,639,545,535,494,31.57%,11人,1.39%
1111005,110,1465,偉全,510,414,462,428,25.00%,0人,0.00%
1111005,110,1466,聚隆,765,647,651,600,35.00%,2人,0.55%
1111005,110,1467,南緯,786,640,696,597,61.00%,2人,1.00%
1111005,110,1468,昶和,802,667,557,507,20.00%,0人,0.00%
1111005,110,1470,大統新創,756,660,591,521,34.30%,0人,0.00%
1111005,110,1471,首利,1085,925,760,762,25.00%,0人,0.00%
1111005,110,1472,三洋實業,665,548,426,354,40.00%,0人,0.00%
1111005,110,1473,台南,725,623,532,451,77.00%,2人,0.01%
1111005,110,1474,弘裕,727,629,572,505,14.23%,1人,0.21%
1111005,110,1475,業旺,839,702,529,495,10.00%,0人,0.00%
1111005,110,1476,儒鴻,1080,943,879,760,36.00%,6人,0.33%
1111005,110,1477,聚陽,1924,1747,1348,1226,50.00%,0人,0.00%
1111005,110,1503,士電,1204,1063,1016,841,8.16%,0人,0.00%
1111005,110,1504,東元,1059,910,877,717,21.59%,2人,0.09%
1111005,110,1506,正道,727,597,521,466,41.67%,1人,0.04%
1111005,110,1512,瑞利,634,513,537,492,16.67%,0人,0.00%
1111005,110,1513,中興電,956,796,809,702,15.00%,3人,0.18%
1111005,110,1514,亞力,984,838,825,725,1.56%,1人,0.00%
1111005,110,1515,力山,591,510,563,486,14.01%,98人,5.73%
1111005,110,1516,川飛,845,749,521,694,0.00%,0人,0.00%
1111005,110,1517,利奇,605,504,534,502,8.45%,5人,0.60%
1111005,110,1519,華城,1016,861,826,708,13.33%,5人,0.55%
1111005,110,1521,大億,729,604,613,565,12.22%,0人,0.00%
1111005,110,1522,堤維西,668,549,575,525,20.00%,16人,1.00%
1111005,110,1524,耿鼎,654,546,521,458,8.16%,4人,0.89%
1111005,110,1525,江申,690,570,580,519,19.00%,1人,0.30%
1111005,110,1526,日馳,859,748,598,415,20.00%,0人,0.00%
1111005,110,1527,鑽全,725,625,607,540,0.81%,8人,1.08%
1111005,110,1528,恩德,978,861,657,572,4.08%,0人,0.00%
1111005,110,1529,樂事綠能,633,506,525,480,10.00%,0人,0.00%
1111005,110,1530,亞崴,731,617,664,539,9.43%,1人,0.60%
1111005,110,1531,高林股,937,796,661,630,19.23%,1人,0.59%
1111005,110,1532,勤美,958,811,769,615,31.75%,1人,0.32%
1111005,110,1533,車王電,673,563,596,510,0.00%,0人,0.00%
1111005,110,1535,中宇,1154,1009,1025,935,7.75%,0人,0.00%
1111005,110,1536,和大,800,644,636,607,9.09%,11人,1.19%
1111005,110,1537,廣隆,1032,873,791,644,23.93%,0人,0.00%
1111005,110,1538,正峰,809,686,475,444,30.76%,1人,1.40%
1111005,110,1539,巨庭,629,510,476,417,17.00%,0人,0.00%
1111005,110,1540,喬福,707,578,542,512,0.00%,0人,0.00%
1111005,110,1541,錩泰,696,590,587,537,22.73%,0人,0.00%
1111005,110,1558,伸興,1047,874,886,831,44.00%,10人,0.32%
1111005,110,1560,中砂,908,761,762,699,6.70%,12人,0.81%
1111005,110,1568,倉佑,691,557,570,526,26.00%,5人,1.20%
1111005,110,1582,信錦,1189,1015,940,803,15.22%,0人,0.00%
1111005,110,1583,程泰,788,629,651,587,17.00%,2人,0.54%
1111005,110,1587,吉茂,699,594,564,541,27.59%,0人,0.00%
1111005,110,1589,永冠-KY,,,,,15.67%,75人,0.03%
1111005,110,1590,亞德客-KY,,,,,10.04%,85人,1.06%
1111005,110,1597,直得,900,770,740,665,31.43%,1人,0.23%
1111005,110,1598,岱宇,742,620,598,508,27.50%,3人,0.00%
1111005,110,1603,華電,692,598,538,472,27.66%,9人,1.52%
1111005,110,1604,聲寶,1040,882,798,715,8.26%,0人,0.00%
1111005,110,1605,華新,1152,1032,1190,967,17.54%,17人,0.60%
1111005,110,1608,華榮,895,755,790,769,14.75%,2人,0.47%
1111005,110,1609,大亞,1259,1121,927,860,16.45%,12人,2.00%
1111005,110,1611,中電,866,698,1635,1100,5.00%,0人,0.00%
1111005,110,1612,宏泰,1295,1160,1188,991,0.00%,1人,0.30%
1111005,110,1614,三洋電,522,418,567,549,0.93%,12人,1.24%
1111005,110,1615,大山,813,688,616,558,23.68%,4人,1.60%
1111005,110,1616,億泰,774,648,601,539,14.29%,0人,0.00%
1111005,110,1617,榮星,906,793,698,640,2.00%,0人,0.00%
1111005,110,1618,合機,826,692,676,640,30.23%,5人,2.39%
1111005,110,1626,艾美特-KY,,,,,23.00%,13人,0.39%
1111005,110,1701,中化,866,722,696,577,42.00%,15人,1.00%
1111005,110,1702,南僑,2853,2627,1009,729,37.50%,0人,0.00%
1111005,110,1707,葡萄王,1077,950,827,796,2.60%,1人,0.21%
1111005,110,1708,東鹼,1144,997,955,886,38.46%,0人,0.00%
1111005,110,1709,和益,2157,1982,1706,1527,13.00%,0人,0.00%
1111005,110,1710,東聯,1464,1132,1061,981,1.82%,3人,0.91%
1111005,110,1711,永光,903,767,741,707,13.00%,4人,0.23%
1111005,110,1712,興農,907,781,732,654,18.00%,4人,0.29%
1111005,110,1713,國化,975,846,743,706,35.50%,0人,0.00%
1111005,110,1714,和桐,913,743,751,629,36.80%,0人,0.00%
1111005,110,1717,長興,1214,1023,979,824,15.40%,3人,0.07%
1111005,110,1720,生達,873,740,796,699,44.44%,8人,1.00%
1111005,110,1721,三晃,870,709,716,685,22.30%,13人,2.61%
1111005,110,1722,台肥,1577,1381,1359,1186,13.41%,3人,5.80%
1111005,110,1723,中碳,1717,1508,1311,1234,7.89%,0人,0.00%
1111005,110,1725,元禎,949,764,738,626,12.50%,0人,0.00%
1111005,110,1726,永記,883,757,736,670,6.00%,21人,2.97%
1111005,110,1727,中華化,770,642,638,585,25.71%,0人,0.00%
1111005,110,1730,花仙子,1211,1032,822,700,38.46%,0人,0.00%
1111005,110,1731,美吾華,862,734,647,548,59.09%,0人,0.00%
1111005,110,1732,毛寶,646,546,530,462,50.00%,0人,0.00%
1111005,110,1733,五鼎,709,600,608,533,41.70%,7人,0.95%
1111005,110,1734,杏輝,682,559,538,491,41.80%,26人,0.45%
1111005,110,1735,日勝化,888,743,685,610,20.00%,212人,0.00%
1111005,110,1736,喬山,835,706,692,589,21.43%,7人,0.60%
1111005,110,1737,臺鹽,1128,954,950,872,26.00%,484人,0.00%
1111005,110,1752,南光,641,536,530,470,0.82%,9人,1.48%
1111005,110,1760,寶齡富錦,1021,867,773,598,49.30%,4人,0.77%
