出表日期,報告年度,公司代號,公司名稱,公司年度召開法說會次數(次)
1111005,110,1101,台泥,1
1111005,110,1102,亞泥,18
1111005,110,1103,嘉泥,4
1111005,110,1104,環泥,2
1111005,110,1108,幸福,1
1111005,110,1109,信大,1
1111005,110,1110,東泥,1
1111005,110,1201,味全,1
1111005,110,1203,味王,1
1111005,110,1210,大成,2
1111005,110,1213,大飲,1
1111005,110,1215,卜蜂,1
1111005,110,1216,統一,6
1111005,110,1217,愛之味,1
1111005,110,1218,泰山,1
1111005,110,1219,福壽,1
1111005,110,1220,台榮,1
1111005,110,1225,福懋油,1
1111005,110,1227,佳格,1
1111005,110,1229,聯華,2
1111005,110,1231,聯華食,1
1111005,110,1232,大統益,1
1111005,110,1233,天仁,1
1111005,110,1234,黑松,1
1111005,110,1235,興泰,1
1111005,110,1236,宏亞,1
1111005,110,1256,鮮活果汁-KY,1
1111005,110,1301,台塑,4
1111005,110,1303,南亞,6
1111005,110,1304,台聚,2
1111005,110,1305,華夏,4
1111005,110,1307,三芳,1
1111005,110,1308,亞聚,1
1111005,110,1309,台達化,1
1111005,110,1310,台苯,1
1111005,110,1312,國喬,1
1111005,110,1313,聯成,1
1111005,110,1314,中石化,1
1111005,110,1315,達新,1
1111005,110,1319,東陽,1
1111005,110,1321,大洋,1
1111005,110,1323,永裕,1
1111005,110,1324,地球,1
1111005,110,1325,恆大,1
1111005,110,1326,台化,2
1111005,110,1337,再生-KY,1
1111005,110,1338,廣華-KY,2
1111005,110,1339,昭輝,2
1111005,110,1340,勝悅-KY,1
1111005,110,1341,富林-KY,3
1111005,110,1342,八貫,1
1111005,110,1402,遠東新,10
1111005,110,1409,新纖,1
1111005,110,1410,南染,1
1111005,110,1413,宏洲,1
1111005,110,1414,東和,1
1111005,110,1416,廣豐,1
1111005,110,1417,嘉裕,1
1111005,110,1418,東華,1
1111005,110,1419,新紡,1
1111005,110,1423,利華,1
1111005,110,1432,大魯閣,1
1111005,110,1434,福懋,2
1111005,110,1435,中福,1
1111005,110,1436,華友聯,1
1111005,110,1437,勤益控,2
1111005,110,1438,三地開發,1
1111005,110,1439,雋揚,1
1111005,110,1440,南紡,2
1111005,110,1441,大東,1
1111005,110,1442,名軒,1
1111005,110,1443,立益物流,1
1111005,110,1444,力麗,1
1111005,110,1445,大宇,1
1111005,110,1446,宏和,1
1111005,110,1447,力鵬,1
1111005,110,1449,佳和,1
1111005,110,1451,年興,1
1111005,110,1452,宏益,1
1111005,110,1453,大將,1
1111005,110,1454,台富,1
1111005,110,1455,集盛,1
1111005,110,1456,怡華,1
1111005,110,1457,宜進,1
1111005,110,1459,聯發,1
1111005,110,1460,宏遠,1
1111005,110,1463,強盛,1
1111005,110,1464,得力,2
1111005,110,1465,偉全,1
1111005,110,1466,聚隆,1
1111005,110,1467,南緯,1
1111005,110,1468,昶和,2
1111005,110,1470,大統新創,1
1111005,110,1471,首利,1
1111005,110,1472,三洋實業,1
1111005,110,1473,台南,1
1111005,110,1474,弘裕,1
1111005,110,1475,業旺,1
1111005,110,1476,儒鴻,6
1111005,110,1477,聚陽,31
1111005,110,1503,士電,1
1111005,110,1504,東元,13
1111005,110,1506,正道,1
1111005,110,1512,瑞利,1
1111005,110,1513,中興電,1
1111005,110,1514,亞力,1
1111005,110,1515,力山,1
1111005,110,1516,川飛,1
1111005,110,1517,利奇,1
1111005,110,1519,華城,1
1111005,110,1521,大億,1
1111005,110,1522,堤維西,1
1111005,110,1524,耿鼎,2
1111005,110,1525,江申,2
1111005,110,1526,日馳,1
1111005,110,1527,鑽全,1
1111005,110,1528,恩德,1
1111005,110,1529,樂事綠能,1
1111005,110,1530,亞崴,1
1111005,110,1531,高林股,1
1111005,110,1532,勤美,6
1111005,110,1533,車王電,1
1111005,110,1535,中宇,2
1111005,110,1536,和大,2
1111005,110,1537,廣隆,3
1111005,110,1538,正峰,1
1111005,110,1539,巨庭,1
1111005,110,1540,喬福,0
1111005,110,1541,錩泰,1
1111005,110,1558,伸興,2
