出表日期,報告年度,公司代號,公司名稱,使用率(再生能源/總能源),資料範圍,取得驗證,提升能源使用效率政策,使用再生物料政策
1111005,110,1101,台泥,0.0051,台泥台灣個體公司 (涵蓋營運集團總部、研究室、2座水泥廠、25座製品廠、子公司和平電力),ISO 50001,通過ISO 50001及EP100，加強能源管理效率台泥各水泥廠100%通過 ISO 50001認證，為進一步提升能源生產力評估規劃EP100目標，預計2022年完成倡議承諾。另一方面，每年推動節能方案，持續提升能源使用效益。,石灰石、黏土、矽砂、鐵渣及煤灰等是產品主要原物料，鑑於自然環境變化，台泥積極減少天然物料開採與購 買，研究廢棄物資源作為再生原物料使用，研發低碳水泥、提升替代燃料使用率，減少生產過程中自然資源耗用。
1111005,110,1102,亞泥,0.0000,亞泥個體公司,ISO 50001,"2021年亞洲水泥總能耗為13,372 TJ (即為3,714,533 MWh)，亞洲水泥建
立能源耗用目標，以2019年為基準年，每年能源耗用及強度減少1%，2021
年能源耗用及強度均達成目標，且能源強度逐年遞減。","亞洲水泥將循環經濟之管制作業標準化，制定經總經理核准的「循環經濟原燃料取得及再利用辦法」及總廠長核准的「循環經濟管理作業程序」，作為亞洲水
泥推動循環經濟之施行依據。亞泥花蓮廠更通過BS 8001：2017驗證，獲得循環經濟模式最高成熟度等級認可，藉由BS 8001六項原則達成循環經濟之路。"
1111005,110,1103,嘉泥,,,ISO 50001,"本公司致力於提升能源使用效率，110年總部大樓導入ISO 50001能源管理系統，並訂定能源及環境政策，支持環保節能效率產品、推動能源使用分配之合理化、多元推動節約能源和提升能源效率、深化員工節能認知及持續永續經營。
除了內部推廣各種日常節約能源行為外，各年度均排定節電及汰換設備計劃。如110年執行節電計劃，改善第二大樓離心機更換為螺旋機，投資金額約新台幣290萬元以減少空調用電，節約電能措施成效約103,000度，平均年節電率達2.11%，超過各年度計劃之節電目標每年平均節電率1%。",為降低環境負荷衝擊，本公司重視資源之利用效率，旅宿服務如企業團經營之餐廳，摒棄採用一次性餐具、拒用保育類動植物食材。海外的酒店開發案則透過LEED綠建築之相關節約能源及水資源等相關環保措施，降低對環境負荷的衝擊。
1111005,110,1104,環泥,,,N,"1.採用節能LED燈具，更換後預計節電30%。
2.遵循隨手關燈原則，辦公室於午休時間熄燈、下班後檢查確認關燈狀況。
3.定期檢修並汰換舊高耗電設備，使用較高效率設備以減少用電量。
4.配合行政院環保署推動執行大型柴油車汰舊換新計畫。
5.主要原料就近在地採購，降低長途運輸。",本公司生產之石膏板將再生原料納入產品供應鏈的一環；採用發電廠的副產品脫硫石膏及飛灰作為原物料，並建立石膏板回收機制，將拆除後的廢石膏板重新處理後作為原料再進入製程，打造循環經濟綠建材。
1111005,110,1108,幸福,,,N,使用高效率節能設備、廠內照明更換LED燈,使用廢棄物替代煤炭燃燒，及水泥替代原料
1111005,110,1109,信大,,,N,"製程生產朝向減少使用原礦、煤炭、電力耗用；製程廢水零排；
事業廢棄物再利用等方面，並將循環經濟中資源再生利用列為重點發展計畫。","使用電廠產生之脫硫石膏及燃煤飛灰、
鋼鐵廠產出之爐碴及鐵渣、工程廢棄土方之矽砂及粘土等作為生產原料；協助光電及半導業處理
氟化鈣汙泥、處理焚化廠之水洗穩定化灰及再生粒料。公司致力於減少製程汙染物之排放並
積極提升資源使用效率，使資源達到最大程度
的循環使用。"
1111005,110,1110,東泥,,,N,"逐年汰換老舊照明燈具及設備,以減少電力使用量,每年減少1%為目標",目前使用台電的脫硫石膏及中鋼公司的水淬爐石作為再生物料使用
1111005,110,1201,味全,,,ISO 50001,"1.工廠全面取得ISO 50001管理系統及認證。
2.節能政策及目標每年節電1%。
3.提升能源使用效率政策：
(1)工廠監控製程改善及提升能源使用效率。
(2)採高效率馬達節能。
(3)採用變頻空壓機、冰水機提升能源使用效率節能。","本公司長期致力於研發並採用對環境負荷衝擊低之環保包材及再生物料政策：
1.在乳品、塑料塑瓶輕量並減少塑料使用量，減少碳排放量。
2.在飲料與醬油瓶身收縮套標已由PVC改為PS等較環保之材質減少碳排放量。
3.在產品禮盒設計上，除使用再生紙材與環保大豆油墨印刷，亦儘量避免過度包裝，及少色印刷。
4.在提升資源再利用效率上，產品外包裝紙箱使用回收再生紙製作再生紙箱，並具有中華民國環保標章認可。"
1111005,110,1203,味王,,,N,1.遵守能源法規，全員參與節能減碳。2.提高能源使用率，持續改善能源績效。3.支持綠能採購，優先採購節能設備。4.創造企業能源價值，善盡企業社會責任，邁向永續經營。,1.積極規劃廢棄物再利用方案，有效減少廢棄物，減輕環境負擔。2.提升資源回收再利用。3.推動事業廢棄物再利用。
1111005,110,1210,大成,,,N,依「上市櫃公司永續發展路徑圖」規劃時程制訂,依「上市櫃公司永續發展路徑圖」規劃時程制訂
