出表日期,報告年度,公司代號,公司名稱,有害廢棄物量-數據(公噸),有害廢棄物量-資料範圍,非有害廢棄物量-數據(公噸),非有害廢棄物量-資料範圍,總重量(有害+非有害)-數據(公噸),總重量(有害+非有害)-資料範圍,廢棄物密集度-密集度(公噸/單位),廢棄物密集度-單位,取得驗證,廢棄物管理政策或減量目標
1111005,110,1101,台泥,0.0000,台泥台灣個體公司 (涵蓋營運集團總部、研究室、2座水泥廠、25座製品廠),2883.5500,台泥台灣個體公司 (涵蓋營運集團總部、研究室、2座水泥廠、25座製品廠),2883.5500,台泥台灣個體公司 (涵蓋營運集團總部、研究室、2座水泥廠、25座製品廠),0.0005,產品,ISO 14001,達成廢棄物產生量最小化及資源回收再利用量最大化之「零廢棄」目標。
1111005,110,1102,亞泥,,亞泥個體公司,,亞泥個體公司,3816.0000,亞泥個體公司,0.0010,產品,ISO14001、ISO9001,"亞洲水泥2021年一般事業廢棄物總重量為3,816公
噸，其中廠內水泥旋窯自行再利用共1,671公噸，由公告回收管道進行委
外回收處理量共2,195公噸，其餘無法回收再利用進行最終處置(焚化)之
數量為60公噸，廢棄物回收再利用率為98%。亞洲水泥設定回收再利
用目標至少80%以上，2021年達成回收目標。"
1111005,110,1103,嘉泥,,合併報表之母子公司但不包含台灣地區營收佔比相較微小之資產出租公司藍鈞及嘉昇建設，及日本區，大陸區所有轉投資公司。,,合併報表之母子公司但不包含台灣地區營收佔比相較微小之資產出租公司藍鈞及嘉昇建設，及日本區，大陸區所有轉投資公司。,239.9750,合併報表之母子公司但不包含台灣地區營收佔比相較微小之資產出租公司藍鈞及嘉昇建設，及日本區，大陸區所有轉投資公司。,0.0001,"營業額 2,042,623 (仟元)",N,目前尚未設定量化目標。
1111005,110,1104,環泥,0.0000,母公司之阿蓮水泥廠、海湖石膏板廠、直屬七座預拌混凝土場,656.4000,母公司之阿蓮水泥廠、海湖石膏板廠、直屬七座預拌混凝土場,656.4000,母公司之阿蓮水泥廠、海湖石膏板廠、直屬七座預拌混凝土場,0.0002,產值(新台幣千元),N,"依照行政院環保署公布之有害事業廢棄物認定標準，本公司營運所產生以一般事業廢棄物及廠辦生活垃圾為主，無產出有害事業廢棄物。
1. 落實源頭減量：
(1) 推動無紙化作業，重複利用廢紙節省紙張消耗量。
(2) 鼓勵同仁自備餐具，降低垃圾量。
2. 資源再利用：
(1) 遵循行政院環保署公布之資源回收分類標準，執行廠辦生活垃圾分類。
(2) 遵循「事業廢棄物貯存清除處理方式及設施標準」，以再利用為優先處理方式。產出之廢水、廢機黃油等於廠/場內回收再利用；廢木材、廢塑膠、含石膏廢紙、廢鐵、廢輪胎等委託環保署認證合格廠商清運回收處理。"
1111005,110,1108,幸福,,,,,,,,,N,無資料
1111005,110,1109,信大,,僅信大母公司南聖湖工廠,,僅信大母公司南聖湖工廠,116.9600,僅信大母公司南聖湖工廠,,,N,"本公司事業廢棄物總量則依法每月登錄於
「行政院環境保護署事業廢棄物申報及管理資訊系統」，並透過旋窯系統妥善自行處理及再利用。
委託處理廢棄物110年度為94.26公噸。"
1111005,110,1110,東泥,0.0000,工廠,84.7900,工廠,84.7900,工廠,0.0001,產品,N,"作好廢棄物分類,逐年減少10%為目標"
1111005,110,1201,味全,1.3200,"1.母公司(含總公司、中央研究所、營業所、台中廠、斗六廠、高雄廠)。
2.110年廢棄物重量為4385.55公噸，包含非有害廢棄物4384.23公噸及有廢棄物1.32公噸。
廢棄物處理方式：有害廢棄物採焚燒及化學處理、非有害廢棄物則以回收再利用(含回收及堆肥自行處理為主、焚化處理次之)。
3.110年廢棄物回收再利用及堆肥量等共計4225.51公噸，資源回收再利用率為 96.4%。",4384.2300,"1.母公司(含總公司、中央研究所、營業所、台中廠、斗六廠、高雄廠)。
2.110年廢棄物重量為4385.55公噸，包含非有害廢棄物4384.23公噸及有廢棄物1.32公噸。
廢棄物處理方式：有害廢棄物採焚燒及化學處理、非有害廢棄物則以回收再利用(含回收及堆肥自行處理為主、焚化處理次之)。
3.110年廢棄物回收再利用及堆肥量等共計4225.51公噸，資源回收再利用率為 96.4%。",4385.5500,"1.母公司(含總公司、中央研究所、營業所、台中廠、斗六廠、高雄廠)。
2.110年廢棄物重量為4385.55公噸，包含非有害廢棄物4384.23公噸及有廢棄物1.32公噸。
廢棄物處理方式：有害廢棄物採焚燒及化學處理、非有害廢棄物則以回收再利用(含回收及堆肥自行處理為主、焚化處理次之)。
3.110年廢棄物回收再利用及堆肥量等共計4225.51公噸，資源回收再利用率為 96.4%。",0.0290,產品,ISO 14001,"廢棄物管理
1.訂定目標每年回收資源再利用率95%。
2.減量精進
2-1整合環境管理(舊/廢品再利用)。
2-2推廣環保再生材料應用。
2-3推動垃圾減量精進。"
1111005,110,1203,味王,3.2000,一般廢棄物+實驗廢液,974.6000,一般廢棄物+實驗廢液,977.8000,一般廢棄物+實驗廢液,0.4400,營業額,N,1.積極規劃廢棄物再利用方案，有效減少廢棄物，減輕環境負擔。2.提升資源回收再利用。3.推動事業廢棄物再利用。
1111005,110,1210,大成,,,,,,,,,N,依「上市櫃公司永續發展路徑圖」規劃時程制訂
1111005,110,1213,大飲,72.1300,僅母公司,12.1550,僅母公司,84.2850,僅母公司,,,NA,NA
1111005,110,1215,卜蜂,0.0000,南投肉食品加工廠、台中飼料廠、高雄飼料廠,30071.6000,南投肉食品加工廠、台中飼料廠、高雄飼料廠,30071.6000,南投肉食品加工廠、台中飼料廠、高雄飼料廠,,,N,本公司致力於廢棄物減量管理，依產業特性區分廢棄物項目以一般事業廢棄物、雞糞、羽毛、骨頭、內臟及污泥和廢油炸粉，皆以合法廠商清運和處理。最終處理方式為回收再利用為主，以廢棄物總量削減與廢棄物再生資源化為策略。
1111005,110,1216,統一,3.0000,僅母公司,35751.0000,僅母公司,35754.0000,僅母公司,8.3900,營業收入千萬元,ISO 14001,"1.推動廢棄物循環利用與降低廢棄物重量，減少廢棄物處理費用。
2.生產效率提升，降低原物料的消耗，減少營運成本。
3.導入污泥乾燥機與沼氣發電。"
1111005,110,1217,愛之味,0.0000,母公司之污泥、廢食用油、菜渣、生活垃圾、資源回收,2665.5000,母公司之污泥、廢食用油、菜渣、生活垃圾、資源回收,2665.5000,母公司之污泥、廢食用油、菜渣、生活垃圾、資源回收,0.3760,產品,N,期望透過環保 3R 政策，即減量（reduce）、回收（recycle）、再利用（reuse），讓資源循環永續利用，以減少對環境的破壞與汙染，因此以 2021 年為基期，目標設定為每年減少1~3%廢棄物量，預期在2025年達到減少10% 的廢棄物總量
