出表日期,報告年度,公司代號,公司名稱,用水量(公噸),資料範圍,用水密集度-密集度(公噸/單位),用水密集度-單位,取得驗證,水資源管理或減量目標
1111005,110,1101,台泥,2996430.0000,台泥台灣個體公司 (涵蓋營運集團總部、研究室、2座水泥廠、25座製品廠),0.4821,產品,ISO 50001,"管理 : 台泥秉持「不浪費一滴」為原則，將水資源列為永續發展核心。相較科技業，水泥業為乾式製程雖非耗水產業，但亦重視水資源議題，建立水管理制度與優化設備，提升用水效率，並制定用水目標和規劃AI水足跡分析平台，檢視並追蹤各廠用水狀況，掌握集團用水或回收熱點。
目標 : 2030年台灣水泥廠目標用水強度下降50%"
1111005,110,1102,亞泥,2462000.0000,亞泥個體公司,0.6680,產品,N,"為達到更有效的水風險管理，亞泥設定3個用水指標及目標，且亞泥花蓮
廠已於2021年著手導入ISO 46001:2019水資源效率管理系統，預計2022年取
得驗證，以期能有效落實管理水資源並達成目標。
2021年亞泥水回收率為85.9%達成回收率目標，單位水泥膠結材料取水量
為0.668噸/噸亦達成水效率目標，而淨淡水耗水量為2,24千噸，未達成絕對減
量目標。因耗水量會隨著產量而變化，亞泥將持續提升用水效率以達成絕對減
量目標。"
1111005,110,1103,嘉泥,122.0000,包含企業團所有台灣營運據點（用水量含總部嘉新大樓承租戶）及日本沖繩飯店；目前統計尚不含大陸地區。,0.0555,"營業額 2,197,183 (仟元)",N,目前尚未設定量化目標。但以逐年統計水資源耗用量並排定節水規劃；如飯店設置雨水回收系統、使用省水認證衛生設備等提升用水使用效率。
1111005,110,1104,環泥,19100.0000,母公司之阿蓮水泥廠、海湖石膏板廠、直屬七座預拌混凝土場之自來水用量,0.0050,產值(新台幣千元),N,"1. 宣導珍惜水資源，以廠區用水效率最大化為原則。
2. 製程廢水回收再利用於廠內，並運用於道路灑水、抑制粉塵等降低空氣污染。
3. 優先採用節水型設備及省水器材，降低無效用水。"
1111005,110,1108,幸福,972782.0000,幸福水泥(股)公司東澳廠,1.5720,產品,N,無資料
1111005,110,1109,信大,224407.0410,僅信大母公司南聖湖工廠,,,N,本公司南聖湖廠水資源區分為地下水及自來水，本公司每年均依法向宜蘭縣政府申請使用地下水水井；自來水部分則每月依台灣自來水公司帳單紀錄用量，本次揭露用水量含括地下水及自來水用量。目前本廠製程冷卻用水全回收再利用。
1111005,110,1110,東泥,17600.0000,工廠,0.0253,產品,N,"利用水循環回收再利用,每年減少使用10%用水量為目標"
1111005,110,1201,味全,1906416.0000,"1.母公司(含總公司、中央研究所、營業所、台中廠、斗六廠、高雄廠)
2.台中廠、斗六廠為地下水1,307,550公噸佔68.6%，總公司、中央研究所、營業所、高雄廠為自來水598,866公噸佔31.4%。",12.8200,產品,N,"1.水資源管理
(1)訂定水資源之使用效率及水資源回收再利用之節水政策。
(2)台中廠、斗六廠、高雄廠實施水回收管理：將水塔冷卻水回收後作環境清潔用水。
2.水資源減量目標：目標1.8% (回收水/三廠總用水量)
(三廠殺菌冷卻水回收及軟化水系統逆洗頻率延長節水等)"
1111005,110,1203,味王,325390.0000,自來水+地下水,146.4570,營業額,N,1.降低設備水資源用量。2.定期檢查廠區原水與製程用水管線，避免水資源洩漏，造成浪費。3.持續進行節水宣導，鼓勵員工節約用水。4.提升回收水再使用，降低對原水的依賴。
1111005,110,1210,大成,,,,,N,依「上市櫃公司永續發展路徑圖」規劃時程制訂
1111005,110,1213,大飲,98.5870,僅母公司,,,NA,NA
1111005,110,1215,卜蜂,922914.0000,南投肉食品加工廠、台中飼料廠、高雄飼料廠,,,N,本公司飼料廠及肉食品加工廠皆設有廢水處理設備，由專人負責處理。近年也因產量提升，陸續增設汙水處理設備與加強廢汙水管理，符合排放標準納入工業區汙水處理廠，並有效控制與低於政府公告之排放標準值。
1111005,110,1216,統一,4232747.0000,僅母公司,992.9700,營業收入千萬元,N,"1.	依經濟部水利署耗水費相關議題，進行控管用水平衡與用水回收率，並每月彙整各總廠水資源使用狀況及分析比較。
2.	生產廠導入節水專案，例如: 製程清洗回收水再利用專案、製程冷卻水耗用改善案..等。(預估年省水15,000m3)
3.	監控各廠水資源使用量及各區水情資訊
4.	廢水排放水質目標管理與監測
5.	成立水情因應小組，建立限水應變計畫"
1111005,110,1217,愛之味,416493.0000,母公司自來水用量,58.7000,產品,N,本公司將規劃利用中水回收系統，將管末廢水回收再利用至廁所馬桶清洗用水或外圍地板以及澆灌使用，因此以2021年為基期，目標設定在2025年達到減少5%的用水量
